User amount,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10
10.0,7.7367218961614865,9.324653369891795,7.85616102325619,9.310166165912385,8.66442715376707,7.8974900936275425,8.441639007162399,8.034984548793117,9.35199839294325,9.351473744599517
20.0,19.552717619293194,21.902065582846877,24.051402435863658,21.050445769841378,20.150386673606558,20.875312160092427,20.565974204339025,22.37736170941621,24.422909059038858,21.922863147489803
30.0,40.9562330262263,41.94117395173163,34.400401721409416,41.47877199850041,43.34929402722531,40.590742861831046,38.783997191438715,36.919616582588084,41.69714507117364,44.0607409517419
40.0,51.361846607674764,54.02428764574691,49.932715274060854,56.78613657629947,56.09721295899558,54.51207756165491,49.50704123050871,50.39418478835546,51.30854346154904,60.2291480166811
50.0,71.52687047622251,78.50386869402895,77.30426899187619,73.34869917043419,75.8796919092747,66.15460639854774,79.70344152002419,65.9281581837163,73.30820766587416,78.3833031185353
60.0,81.19206824120951,97.53818886757324,87.27986442654696,91.62768961870827,97.31934980849769,90.34622417346594,92.27044224184586,101.71761484595135,95.66692943111684,82.59409336249409
70.0,114.37707983037569,123.64519290299555,116.11528306186963,107.55982689158893,105.44479105923574,113.70067973061084,104.51732645020302,102.65047870461594,101.37114594574763,121.09391616854043
80.0,138.09930379914425,120.52115821896231,145.4475767093098,141.4952772445215,123.67696617078781,150.50499216710654,147.363926271933,131.24450673360832,120.42685532738672,144.97411576154494
90.0,142.0299708284209,166.35332617941555,135.72296193947918,138.33430083772123,147.1159442017888,141.79418663034008,152.1757742101867,160.5766463287062,169.51361767332858,168.78764108450315
100.0,173.003452047347,177.4057051369379,155.7131975384163,167.8630897732109,177.89293235955734,199.5719880954279,176.4630994274516,185.27000907336995,157.8493128015637,177.41996023772379
110.0,175.93103610040407,175.3738360948978,172.2634839741534,171.2387172652767,182.91123028646228,173.5196691046499,185.71190226186505,213.53935755960194,218.26186395654673,180.5192521022092
120.0,195.90567452033338,214.82269959600592,244.22963255652195,232.17080540540525,237.09786815396905,230.5053992367352,206.1970497767404,217.86136687696447,248.76977185545584,193.5030151870237
130.0,230.29043627778358,238.35235120534253,227.31766346579434,206.49283684789168,238.17617587934694,269.11241194126205,248.72271657227336,215.78506542363382,238.7204113119782,218.72700834471243
140.0,253.63409573256607,272.0026825083834,297.1617478523185,245.14688592684044,243.16102870423802,257.7120504551838,244.96072158275976,230.64829051350358,291.440823097558,248.1248472018315
150.0,259.8959238620769,315.5651212680864,256.030643487536,288.673778884404,254.77880453574244,325.1518710062042,270.1840155710087,266.7696791371592,292.3958451041168,292.4853291310342
160.0,344.445238730921,278.87127907943005,293.4587963453326,347.4395304470714,295.3402991345412,300.48231930023184,300.6189933631378,301.68850301842707,283.95083032601724,340.6581018341463
170.0,374.8416537646877,357.85562263904666,320.6916947926227,333.5308964198117,288.5764762475102,329.5048962035055,348.4504042449044,336.1484741741342,336.21150457476216,362.255766942251
180.0,361.64988615293873,305.56470854744333,343.81315491201656,405.31307287211604,403.7207488142725,336.7286467517748,399.0589065735105,378.7766599895659,355.6155343375772,304.91058815803257
190.0,358.04799479579617,389.65632597232724,337.8712990229047,335.88575028404523,406.86501489816317,375.3960754144092,344.68569748673167,415.21438459989685,356.77623381193706,432.16647427168357
200.0,443.60264964837813,408.6651994677262,345.92018827090857,424.3184375858683,365.61200026996545,433.79680659617424,364.1974827452412,348.5875502554469,356.42916971295483,427.6846645905608
